"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",17
"13001","13012",1
"13001","13035",3
"13001","13057",5
"13001","13077",8
"13002","13002",21
"13002","13016",1
"13002","13057",1
"13002","13066",1
"13002","13077",17
"13002","13082",1
"13002","13083",5
"13003","13003",126
"13003","13005",1
"13003","13009",27
"13003","13010",2
"13003","13023",6
"13003","13030",2
"13003","13041",3
"13003","13048",5
"13003","13051",2
"13003","13052",7
"13003","13054",14
"13003","13055",7
"13003","13076",4
"13004","13001",1
"13004","13004",3
"13004","13035",2
"13004","13077",2
"13005","13005",19
"13005","13010",2
"13005","13023",2
"13005","13041",1
"13005","13048",1
"13005","13065",13
"13005","13074",1
"13006","13006",12
"13006","13029",2
"13006","13030",3
"13006","13058",2
"13006","13084",1
"13007","13007",10
"13007","13008",5
"13007","13056",1
"13008","13007",6
"13008","13008",52
"13008","13021",9
"13008","13052",1
"13008","13061",10
"13008","13072",1
"13008","13077",3
"13009","13003",29
"13009","13009",34
"13009","13023",1
"13009","13039",1
"13009","13041",1
"13009","13048",5
"13009","13052",11
"13009","13054",4
"13009","13055",1
"13010","13010",93
"13010","13013",11
"13010","13030",2
"13010","13041",2
"13010","13048",3
"13010","13050",2
"13010","13057",2
"13010","13064",1
"13010","13065",1
"13010","13066",3
"13010","13067",1
"13010","13074",19
"13010","13075",2
"13010","13076",16
"13010","13082",1
"13011","13011",9
"13011","13028",2
"13012","13001",1
"13012","13004",1
"13012","13012",79
"13012","13024",10
"13012","13034",1
"13012","13035",1
"13012","13036",2
"13012","13037",4
"13012","13039",1
"13012","13045",1
"13012","13048",2
"13012","13051",4
"13012","13084",1
"13013","13010",17
"13013","13013",87
"13013","13021",2
"13013","13037",1
"13013","13048",1
"13013","13063",4
"13013","13066",2
"13013","13067",2
"13013","13074",3
"13013","13075",6
"13013","13076",3
"13013","13081",4
"13014","13014",2
"13014","13080",2
"13015","13015",21
"13015","13030",3
"13015","13054",1
"13015","13083",1
"13016","13001",1
"13016","13016",141
"13016","13035",1
"13016","13052",1
"13016","13056",8
"13016","13057",1
"13016","13077",25
"13016","13083",3
"13017","13017",2
"13017","13044",4
"13017","13064",3
"13018","13018",11
"13018","13040",1
"13018","13049",1
"13019","13019",12
"13019","13030",4
"13019","13041",2
"13019","13050",1
"13019","13054",2
"13019","13076",2
"13020","13011",1
"13021","13003",1
"13021","13008",10
"13021","13010",3
"13021","13021",28
"13021","13056",1
"13021","13061",5
"13021","13066",7
"13021","13069",1
"13021","13075",1
"13021","13076",1
"13021","13082",1
"13022","13022",19
"13022","13048",14
"13022","13051",21
"13022","13069",1
"13022","13077",1
"13022","13083",6
"13023","13003",4
"13023","13005",1
"13023","13006",1
"13023","13010",2
"13023","13015",1
"13023","13023",63
"13023","13024",1
"13023","13030",1
"13023","13041",3
"13023","13048",1
"13023","13050",1
"13023","13051",1
"13023","13054",8
"13023","13055",1
"13023","13076",1
"13023","13084",3
"13024","13001",7
"13024","13012",5
"13024","13024",55
"13024","13035",1
"13024","13037",1
"13024","13039",1
"13024","13045",2
"13024","13048",1
"13024","13056",1
"13024","13077",5
"13024","13083",1
"13024","13084",6
"13025","13025",6
"13025","13037",1
"13027","13027",2
"13028","13025",1
"13028","13028",51
"13028","13032",1
"13028","13048",1
"13028","13073",4
"13028","13084",1
"13029","13006",3
"13029","13015",1
"13029","13029",113
"13029","13030",5
"13029","13041",1
"13029","13044",3
"13029","13051",1
"13029","13059",3
"13029","13079",1
"13030","13003",2
"13030","13006",2
"13030","13010",3
"13030","13015",4
"13030","13017",1
"13030","13019",2
"13030","13023",2
"13030","13029",1
"13030","13030",191
"13030","13041",3
"13030","13043",1
"13030","13048",4
"13030","13050",3
"13030","13051",4
"13030","13052",1
"13030","13054",9
"13030","13055",2
"13030","13058",2
"13030","13059",1
"13030","13067",1
"13030","13070",1
"13030","13076",5
"13030","13084",4
"13031","13031",3
"13031","13067",1
"13031","13084",2
"13032","13032",2
"13032","13046",1
"13033","13020",1
"13033","13033",1
"13033","13042",1
"13034","13014",1
"13034","13028",1
"13034","13034",3
"13034","13046",1
"13034","13073",2
"13034","13079",1
"13034","13080",1
"13035","13004",3
"13035","13016",1
"13035","13024",1
"13035","13035",9
"13035","13077",3
"13036","13003",1
"13036","13012",4
"13036","13036",4
"13036","13081",3
"13037","13012",1
"13037","13015",1
"13037","13024",1
"13037","13036",2
"13037","13037",7
"13037","13051",1
"13037","13079",1
"13038","13038",3
"13038","13045",1
"13038","13048",3
"13038","13051",2
"13038","13052",2
"13039","13009",1
"13039","13012",8
"13039","13022",1
"13039","13039",20
"13039","13045",3
"13039","13048",8
"13039","13051",11
"13039","13082",1
"13040","13018",2
"13040","13031",1
"13040","13040",2
"13041","13003",2
"13041","13005",1
"13041","13013",3
"13041","13019",1
"13041","13023",11
"13041","13030",2
"13041","13041",77
"13041","13050",13
"13041","13054",3
"13041","13055",1
"13041","13067",8
"13041","13070",10
"13041","13074",1
"13041","13076",2
"13041","13084",4
"13042","13034",5
"13042","13036",1
"13042","13037",2
"13042","13042",2
"13042","13046",1
"13042","13062",1
"13042","13079",1
"13042","13081",1
"13043","13015",1
"13043","13043",6
"13043","13084",2
"13044","13017",1
"13044","13029",2
"13044","13044",16
"13045","13012",5
"13045","13038",1
"13045","13039",4
"13045","13045",9
"13046","13028",1
"13046","13032",1
"13046","13046",5
"13046","13073",2
"13047","13047",2
"13048","13002",1
"13048","13003",7
"13048","13004",1
"13048","13005",1
"13048","13008",1
"13048","13009",4
"13048","13010",2
"13048","13012",3
"13048","13013",2
"13048","13016",1
"13048","13022",6
"13048","13030",1
"13048","13031",1
"13048","13037",1
"13048","13038",4
"13048","13039",1
"13048","13041",2
"13048","13043",1
"13048","13045",1
"13048","13048",1101
"13048","13050",2
"13048","13051",319
"13048","13052",17
"13048","13054",1
"13048","13056",1
"13048","13057",3
"13048","13061",2
"13048","13066",3
"13048","13067",1
"13048","13069",8
"13048","13070",1
"13048","13072",1
"13048","13075",10
"13048","13076",1
"13048","13077",14
"13048","13079",1
"13048","13080",1
"13048","13081",3
"13048","13082",15
"13048","13083",61
"13048","13084",2
"13049","13018",2
"13050","13015",1
"13050","13019",3
"13050","13023",4
"13050","13030",1
"13050","13041",14
"13050","13048",2
"13050","13050",26
"13050","13076",1
"13051","13002",1
"13051","13003",4
"13051","13009",1
"13051","13012",3
"13051","13014",1
"13051","13016",1
"13051","13021",1
"13051","13022",20
"13051","13024",1
"13051","13030",2
"13051","13031",1
"13051","13037",1
"13051","13039",10
"13051","13041",1
"13051","13048",282
"13051","13051",486
"13051","13052",2
"13051","13054",1
"13051","13056",2
"13051","13057",4
"13051","13063",1
"13051","13069",6
"13051","13075",5
"13051","13076",1
"13051","13077",8
"13051","13081",1
"13051","13082",9
"13051","13083",16
"13052","13008",1
"13052","13009",11
"13052","13023",1
"13052","13038",3
"13052","13048",22
"13052","13050",1
"13052","13051",5
"13052","13052",42
"13052","13054",2
"13052","13061",1
"13052","13069",2
"13052","13070",2
"13052","13075",1
"13052","13077",1
"13052","13083",1
"13053","13021",1
"13053","13053",6
"13053","13060",7
"13053","13077",1
"13054","13003",12
"13054","13005",1
"13054","13009",2
"13054","13010",1
"13054","13019",1
"13054","13023",7
"13054","13030",4
"13054","13041",2
"13054","13051",1
"13054","13052",2
"13054","13054",31
"13054","13055",9
"13055","13003",6
"13055","13009",1
"13055","13030",5
"13055","13041",2
"13055","13048",1
"13055","13054",10
"13055","13055",32
"13056","13001",1
"13056","13002",1
"13056","13016",6
"13056","13022",1
"13056","13051",1
"13056","13053",1
"13056","13056",42
"13056","13057",2
"13056","13077",40
"13057","13008",1
"13057","13030",1
"13057","13056",1
"13057","13057",48
"13057","13077",10
"13057","13083",7
"13058","13006",2
"13058","13009",1
"13058","13030",2
"13058","13058",16
"13058","13076",1
"13058","13084",4
"13059","13029",4
"13059","13059",34
"13060","13053",8
"13060","13060",6
"13061","13008",14
"13061","13016",1
"13061","13021",9
"13061","13022",1
"13061","13048",4
"13061","13051",3
"13061","13056",1
"13061","13061",141
"13061","13072",19
"13061","13075",1
"13061","13077",11
"13061","13083",3
"13062","13018",1
"13062","13062",4
"13063","13002",1
"13063","13010",1
"13063","13013",3
"13063","13030",1
"13063","13051",1
"13063","13063",211
"13063","13067",2
"13063","13076",14
"13063","13084",2
"13064","13006",1
"13064","13017",1
"13064","13064",10
"13064","13067",2
"13064","13076",7
"13065","13003",1
"13065","13005",17
"13065","13041",1
"13065","13065",11
"13065","13074",1
"13065","13076",3
"13066","13021",3
"13066","13048",1
"13066","13066",6
"13066","13069",1
"13066","13074",1
"13066","13075",1
"13066","13076",3
"13066","13077",1
"13066","13082",5
"13067","13003",1
"13067","13010",7
"13067","13013",5
"13067","13019",1
"13067","13021",1
"13067","13030",3
"13067","13041",3
"13067","13064",1
"13067","13067",71
"13067","13070",6
"13067","13074",8
"13067","13075",1
"13067","13076",9
"13067","13083",1
"13068","13014",1
"13068","13068",1
"13068","13079",4
"13068","13081",4
"13069","13003",1
"13069","13048",14
"13069","13051",8
"13069","13052",1
"13069","13054",1
"13069","13063",1
"13069","13069",188
"13069","13075",15
"13069","13082",5
"13069","13083",3
"13069","13084",6
"13070","13003",1
"13070","13005",1
"13070","13023",1
"13070","13041",13
"13070","13048",1
"13070","13052",1
"13070","13067",6
"13070","13070",16
"13070","13074",2
"13070","13076",2
"13070","13077",1
"13071","13015",1
"13071","13071",2
"13072","13008",6
"13072","13021",1
"13072","13051",3
"13072","13061",10
"13072","13072",7
"13073","13018",1
"13073","13028",4
"13073","13034",2
"13073","13046",1
"13073","13051",1
"13073","13073",12
"13073","13079",1
"13074","13003",1
"13074","13005",8
"13074","13010",7
"13074","13013",3
"13074","13021",1
"13074","13030",1
"13074","13063",2
"13074","13067",11
"13074","13070",5
"13074","13074",41
"13074","13075",1
"13074","13076",12
"13074","13084",2
"13075","13010",7
"13075","13013",3
"13075","13021",2
"13075","13030",1
"13075","13048",11
"13075","13051",1
"13075","13057",1
"13075","13066",5
"13075","13067",2
"13075","13069",11
"13075","13070",1
"13075","13074",1
"13075","13075",33
"13075","13076",4
"13075","13082",6
"13075","13083",6
"13076","13003",1
"13076","13010",23
"13076","13013",3
"13076","13017",1
"13076","13019",1
"13076","13021",1
"13076","13022",1
"13076","13023",1
"13076","13030",3
"13076","13041",1
"13076","13048",2
"13076","13051",1
"13076","13057",1
"13076","13061",1
"13076","13063",19
"13076","13064",6
