"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",16638.57
"13001","13004",143.32
"13001","13010",55.9
"13001","13012",52.03
"13001","13016",331.1
"13001","13024",1234.57
"13001","13035",389.1
"13001","13045",135.47
"13001","13048",1054.41
"13001","13051",101.19
"13001","13053",75.56
"13001","13056",1943.77
"13001","13057",301.49
"13001","13061",17.34
"13001","13069",36.5
"13001","13073",40.66
"13001","13077",9642
"13001","13081",123.54
"13001","13082",17.67
"13001","13083",138.9
"13002","13002",17051.64
"13002","13004",24
"13002","13007",27.25
"13002","13010",28.86
"13002","13016",177.71
"13002","13022",114.13
"13002","13024",22.99
"13002","13029",23.72
"13002","13035",90.45
"13002","13041",85.74
"13002","13048",898.22
"13002","13051",201.24
"13002","13056",444.69
"13002","13057",253.59
"13002","13066",23.17
"13002","13072",39.33
"13002","13076",23.17
"13002","13077",8553.38
"13002","13083",71.9
"13003","13001",24.73
"13003","13002",103.76
"13003","13003",97899.15
"13003","13005",147.7
"13003","13008",42.29
"13003","13009",13860.79
"13003","13010",467.22
"13003","13012",25.87
"13003","13013",68.89
"13003","13015",25.87
"13003","13019",51.82
"13003","13021",115.49
"13003","13023",5609.88
"13003","13029",114.48
"13003","13030",3432.24
"13003","13034",26.25
"13003","13041",1006.98
"13003","13047",48.84
"13003","13048",8537.41
"13003","13050",654.67
"13003","13051",4389.41
"13003","13052",1797.05
"13003","13054",12276.18
"13003","13055",2714.03
"13003","13059",26.05
"13003","13061",507.14
"13003","13063",14.88
"13003","13065",46.43
"13003","13066",41.29
"13003","13067",200.31
"13003","13069",202.6
"13003","13070",295.9
"13003","13074",26.05
"13003","13075",172.12
"13003","13076",725.15
"13003","13077",113.06
"13003","13081",23.58
"13003","13082",110.19
"13003","13083",783.18
"13003","13084",99.11
"13004","13001",76.25
"13004","13004",2067.14
"13004","13016",24
"13004","13024",44.7
"13004","13027",49.37
"13004","13035",1286.72
"13004","13037",22.3
"13004","13039",23.59
"13004","13048",76.98
"13004","13056",70.5
"13004","13077",684.06
"13004","13083",102.12
"13005","13005",19404.41
"13005","13009",29.64
"13005","13010",454.42
"13005","13023",617.29
"13005","13041",171.77
"13005","13048",968.27
"13005","13051",235.6
"13005","13052",683.34
"13005","13054",267.23
"13005","13065",6566.22
"13005","13067",76.38
"13005","13070",126.65
"13005","13074",1136
"13005","13076",293.31
"13005","13077",118.8
"13006","13003",68.64
"13006","13006",11678.58
"13006","13017",340.11
"13006","13018",24.46
"13006","13029",207.13
"13006","13030",3798.64
"13006","13041",29.45
"13006","13048",52.33
"13006","13050",23.44
"13006","13055",27.96
"13006","13058",377.79
"13006","13059",67.37
"13006","13064",116.55
"13006","13069",29.74
"13006","13076",112.68
"13006","13077",23.59
"13006","13081",23.58
"13006","13083",23.59
"13006","13084",166.97
"13007","13007",5088.72
"13007","13008",5818.59
"13007","13021",136.98
"13007","13022",29.64
"13007","13048",76.05
"13007","13051",115.15
"13007","13061",266.5
"13007","13077",46.61
"13007","13081",24.46
"13007","13083",69.02
"13008","13002",23.44
"13008","13007",5278.5
"13008","13008",58577.65
"13008","13013",23.58
"13008","13016",200.77
"13008","13021",5090.37
"13008","13022",326.29
"13008","13024",245.19
"13008","13048",2861.76
"13008","13051",766.1
"13008","13052",102.06
"13008","13053",235.7
"13008","13055",22.61
"13008","13057",205.49
"13008","13061",9457.97
"13008","13063",53.74
