"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",6
"13001","13004",1
"13001","13024",3
"13001","13077",4
"13002","13002",11
"13002","13057",3
"13002","13076",1
"13002","13077",8
"13003","13003",121
"13003","13009",9
"13003","13010",3
"13003","13023",4
"13003","13030",3
"13003","13048",1
"13003","13051",3
"13003","13052",2
"13003","13054",4
"13003","13055",2
"13004","13004",3
"13004","13016",1
"13005","13005",9
"13005","13065",10
"13005","13074",2
"13006","13006",5
"13006","13029",1
"13006","13030",3
"13006","13076",1
"13007","13007",2
"13007","13008",2
"13008","13007",2
"13008","13008",29
"13008","13021",3
"13008","13061",14
"13008","13072",3
"13009","13003",13
"13009","13009",12
"13009","13023",1
"13009","13041",1
"13009","13048",2
"13009","13052",2
"13009","13055",1
"13010","13003",2
"13010","13005",1
"13010","13008",1
"13010","13010",37
"13010","13013",9
"13010","13030",1
"13010","13054",1
"13010","13057",1
"13010","13066",2
"13010","13067",2
"13010","13070",2
"13010","13074",9
"13010","13075",3
"13010","13076",15
"13011","13011",6
"13012","13012",29
"13012","13024",13
"13012","13039",1
"13012","13045",1
"13012","13068",1
"13013","13010",8
"13013","13013",39
"13013","13063",1
"13013","13067",3
"13013","13069",1
"13013","13070",1
"13013","13075",1
"13013","13076",3
"13013","13081",1
"13014","13014",3
"13014","13068",1
"13015","13015",7
"13015","13030",2
"13015","13037",1
"13016","13016",58
"13016","13048",1
"13016","13051",1
"13016","13056",2
"13016","13061",1
"13016","13077",9
"13017","13017",2
"13017","13064",1
"13017","13074",1
"13018","13018",5
"13018","13049",1
"13019","13019",5
"13019","13030",2
"13019","13041",3
"13019","13050",3
"13019","13054",1
"13019","13067",2
"13019","13070",1
"13020","13037",1
"13021","13008",7
"13021","13010",1
"13021","13021",12
"13021","13061",2
"13021","13066",5
"13021","13067",1
"13021","13069",1
"13021","13083",1
"13022","13022",11
"13022","13039",1
"13022","13048",3
"13022","13051",11
"13022","13077",2
"13022","13083",2
"13023","13003",2
"13023","13009",1
"13023","13023",28
"13023","13024",3
"13023","13030",1
"13023","13041",1
"13023","13048",2
"13023","13050",5
"13023","13051",1
"13023","13054",1
"13023","13067",1
"13023","13084",2
"13024","13012",4
"13024","13023",1
"13024","13024",32
"13024","13045",1
"13024","13084",1
"13025","13025",2
"13027","13027",1
"13028","13028",25
"13028","13032",1
"13028","13073",2
"13029","13029",57
"13029","13030",1
"13029","13044",4
"13029","13058",1
"13030","13003",2
"13030","13006",2
"13030","13013",1
"13030","13015",1
"13030","13019",1
"13030","13023",1
"13030","13029",2
"13030","13030",99
"13030","13041",2
"13030","13054",2
"13030","13058",1
"13030","13063",1
"13030","13074",1
"13030","13076",3
"13030","13084",1
"13031","13030",1
"13031","13040",1
"13031","13048",1
"13032","13032",2
"13034","13028",1
"13034","13034",2
"13034","13042",1
"13034","13073",1
"13034","13081",1
"13035","13001",1
"13035","13024",1
"13035","13035",7
"13035","13077",2
"13036","13012",1
"13036","13036",3
"13036","13081",2
"13037","13020",1
"13037","13037",1
"13037","13048",1
"13037","13081",1
"13038","13048",1
"13038","13052",1
"13039","13012",1
"13039","13039",9
"13039","13048",1
"13039","13051",3
"13040","13031",2
"13041","13010",2
"13041","13019",1
"13041","13023",3
"13041","13030",2
"13041","13041",40
"13041","13048",2
"13041","13050",5
"13041","13055",1
"13041","13076",4
"13042","13034",2
"13042","13042",2
"13042","13048",1
"13042","13068",1
"13042","13079",1
"13043","13043",2
"13043","13084",1
"13044","13017",3
"13044","13029",3
"13044","13044",8
"13044","13063",1
"13045","13012",4
"13045","13045",4
"13048","13003",3
"13048","13005",1
"13048","13007",1
"13048","13009",2
"13048","13010",1
"13048","13021",2
"13048","13022",8
"13048","13030",1
"13048","13036",1
"13048","13039",3
"13048","13041",2
"13048","13045",1
"13048","13048",448
"13048","13051",119
"13048","13052",5
"13048","13054",1
"13048","13057",2
