"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001","13001",34
"13001","13004",1
"13001","13016",1
"13001","13024",1
"13001","13035",2
"13001","13051",1
"13001","13077",13
"13002","13002",37
"13002","13048",1
"13002","13051",1
"13002","13057",3
"13002","13077",28
"13002","13083",1
"13003","13003",174
"13003","13005",1
"13003","13009",40
"13003","13010",6
"13003","13012",1
"13003","13021",1
"13003","13023",10
"13003","13030",5
"13003","13041",6
"13003","13048",10
"13003","13050",1
"13003","13051",1
"13003","13052",2
"13003","13054",18
"13003","13055",5
"13003","13061",1
"13003","13063",1
"13003","13065",3
"13003","13069",1
"13003","13076",2
"13003","13083",1
"13004","13004",2
"13004","13077",2
"13005","13005",28
"13005","13010",1
"13005","13023",4
"13005","13041",1
"13005","13052",2
"13005","13054",1
"13005","13065",20
"13005","13067",2
"13005","13074",5
"13006","13006",21
"13006","13029",3
"13006","13030",6
"13006","13055",1
"13006","13058",1
"13006","13084",2
"13007","13007",16
"13007","13008",11
"13007","13021",1
"13008","13007",11
"13008","13008",92
"13008","13021",15
"13008","13048",1
"13008","13052",1
"13008","13061",15
"13008","13072",1
"13008","13077",3
"13009","13003",30
"13009","13009",38
"13009","13010",1
"13009","13023",1
"13009","13027",1
"13009","13030",1
"13009","13041",1
"13009","13048",9
"13009","13050",1
"13009","13052",8
"13009","13054",2
"13009","13055",2
"13009","13058",2
"13009","13065",1
"13009","13069",1
"13010","13003",3
"13010","13005",2
"13010","13010",113
"13010","13013",18
"13010","13021",1
"13010","13030",2
"13010","13041",3
"13010","13048",3
"13010","13065",1
"13010","13066",1
"13010","13067",7
"13010","13070",8
"13010","13074",32
"13010","13075",3
"13010","13076",32
"13010","13084",1
"13011","13011",12
"13012","13001",2
"13012","13012",98
"13012","13023",2
"13012","13024",7
"13012","13036",4
"13012","13037",3
"13012","13039",6
"13012","13045",3
"13012","13048",9
"13012","13051",9
"13012","13069",1
"13012","13079",2
"13012","13083",1
"13013","13010",20
"13013","13013",166
"13013","13019",1
"13013","13021",1
"13013","13029",1
"13013","13041",1
"13013","13051",1
"13013","13063",4
"13013","13065",1
"13013","13067",4
"13013","13069",2
"13013","13070",2
"13013","13074",2
"13013","13075",4
"13013","13076",9
"13013","13077",1
"13013","13081",7
"13013","13082",2
"13014","13014",6
"13014","13028",1
"13014","13034",1
"13014","13036",1
"13014","13042",1
"13014","13068",1
"13014","13073",1
"13014","13080",5
"13015","13015",23
"13015","13030",9
"13016","13016",170
"13016","13035",2
"13016","13048",6
"13016","13051",1
"13016","13056",4
"13016","13057",1
"13016","13061",2
"13016","13077",32
"13016","13083",1
"13017","13006",2
"13017","13017",4
"13017","13058",1
"13017","13064",1
"13018","13018",17
"13018","13049",2
"13018","13062",3
"13019","13019",11
"13019","13030",3
"13019","13041",4
"13019","13050",5
"13019","13054",1
"13019","13067",3
