"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001001A","130120066",1
"13001001A","130350022",1
"130010024","130010024",10
"130010024","130010039",2
"130010024","1303500010037",1
"130010024","130770068093A",1
"130010024","130770145",2
"130010024","130770164_X",1
"130010039","130010024",3
"130010039","130010039",2
"130010039","130350018",1
"130010039","130570015",1
"130010039","13057002A",2
"130010039","130570049",2
"130010039","1307700010215",1
"130010039","1307700010573",1
"130010039","1307700100431",1
"130010039","130770164_X",1
"1300200010125","1300200160106",1
"1300200070214","1300200070214",1
"1300200130163","130020017",2
"1300200160106","130020040",1
"1300200160106","13057002A",1
"1300200160106","13083002A",2
"130020017","130020001013A",1
"130020017","130020017",10
"130020017","130020040",1
"130020017","130660014",1
"130020017","1307700010037",2
"130020017","1307700010060",1
"130020017","1307700010709",1
"130020017","1307700201092",1
"130020017","1307700201105",1
"130020017","130770145",3
"130020017","130770183",1
"130020040","1300200160197",1
"130020040","130020017",1
"130020040","130020040",2
"130020040","1301600210281",1
"130020040","1307700010535",1
"130020040","130770164_X",4
"130020040","130770183",2
"130020040","130820022_S",1
"130020040","13083002A",3
"1300300010103","130540013",2
"1300300010118","1300300010118",1
"1300300010118","1300300010141",1
"1300300010118","1300300010160",2
"1300300010118","1300300010283",1
"1300300010118","1300300010353",1
"1300300010118","130030029_K",2
"1300300010118","130090018",1
"1300300010122","130090018",1
"1300300010141","1300300010175",1
"1300300010141","1300300010226",1
"1300300010141","1300300010372",1
"1300300010141","1300300140387",1
"1300300010141","130030029_K",1
"1300300010141","130030090",1
"1300300010141","130540013",1
"1300300010156","1300300010283",1
"1300300010156","130030090",1
"1300300010156","130100001017A",1
"1300300010156","130510577_Z",1
"1300300010156","1305400320140",1
"1300300010156","130760044",1
"1300300010160","1300300010103",1
"1300300010160","1300300010175",1
"1300300010160","1300300010368",1
"1300300010160","1304800010251",1
"1300300010175","1300300010175",1
"1300300010175","1300300010226",1
"1300300010175","1300300010283",1
"1300300010175","1300300010368",1
"1300300010175","130030029_K",1
"1300300010175","130030033",1
"1300300010175","1300900010145",1
"1300300010175","1302300010074",2
"1300300010175","130230017",1
"1300300010175","1304800012421",1
"1300300010175","130520023",1
"1300300010175","130540013",1
"1300300010175","130540121",1
"130030001018A","1300300010283",1
"130030001018A","1300300010368",1
"130030001018A","130030090",2
"130030001018A","130090018",1
"130030001018A","1304100100231",2
"130030001018A","1304800012347",1
"130030001018A","1307600010082",1
"1300300010211","1300900010126",1
"1300300010211","130090018",1
"1300300010211","1303000010223",1
"1300300010211","130540013",1
"1300300010211","1307600080947",1
"1300300010226","1300300010175",1
"1300300010226","130030090",1
"1300300010226","130520023",1
"1300300010226","1305400320140",1
"1300300010264","130030029_K",1
"1300300010279","1300300010141",2
