"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001001A","1301200010155",22.99
"13001001A","130240014",56.42
"13001001A","130350018",24
"13001001A","130370116",22.99
"130010024","130010024",789.96
"130010024","130010039",69.82
"130010024","130350022",13.47
"130010024","1305700010072",30.57
"130010024","1307700010111",47.28
"130010024","1307700201088",23.59
"130010024","1307700530874",26.25
"130010024","1307700680925",28.86
"130010024","130770145",50.74
"130010024","130770164_X",55.8
"130010039","130010024",158.38
"130010039","130010039",147.74
"130010039","130040026",29.74
"130010039","1305600010183",68.81
"130010039","130560145",25.87
"130010039","1307700010501",23.17
"130010039","1307700100431",22.99
"130010039","1307700201088",27.25
"130010039","1307700530785",25.87
"130010039","130770164_X",53.64
"1300200010125","1300200010125",183.27
"1300200010125","130020017",159.73
"1300200010125","1307700201105",135.56
"130020001013A","130020001013A",24
"130020001013A","130020017",54.33
"130020001013A","13056015A",209.59
"1300200070229","1300200070229",25.87
"1300200070229","130020017",23.06
"1300200130163","1300200130178",217.95
"1300200130163","130020017",622.15
"1300200130248","1300200130163",229.57
"1300200160106","1300200160106",19.14
"1300200160106","130020017",24.46
"1300200160106","130020040",54.99
"1300200160106","1305100010191",23.44
"1300200160106","1307700201105",31.34
"1300200160182","130020017",226.29
"1300200160182","130770145",26.01
"1300200160197","130020040",27.25
"130020017","1300200010125",200.73
"130020017","1300200130163",636.02
"130020017","1300200130248",53.74
"130020017","1300200160197",225.81
"130020017","130020017",492.91
"130020017","130020040",54.31
"130020017","1305100010204",27.25
"130020017","1305600360319",36.17
"130020017","1305700010087",25.25
"130020017","13057002A",24
"130020017","1307700010037",53.74
"130020017","130770001022A",22.99
"130020017","130770001047A",31.34
"130020017","1307700010484",13.57
"130020017","1307700010588",175.01
"130020017","1307700010696",27.25
"130020017","1307700201088",105.91
"130020017","1307700201092",31.34
"130020017","1307700681158",23.17
"130020017","130770145",66.57
"130020017","130830034",47.44
"130020040","1300200160106",47.81
"130020040","130020017",96.7
"130020040","130020040",276.12
"130020040","13056015A",22.3
"130020040","1305700010119",23.44
"130020040","13057002A",50.47
"130020040","1307700010215",21.39
"130020040","1307700100446",23.17
"130020040","1307700530874",23.44
"130020040","130770145",22.3
"130020040","130770179",26.01
