"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"1300100010043","1300100010043",76.39
"1300100010043","13001001A",24
"1300100010043","130010024",351.42
"1300100010043","130010039",1720.84
"1300100010043","1301000020080",23.44
"1300100010043","130240033",30.57
"1300100010043","130240048",75.5
"1300100010043","1304800010143",61.11
"1300100010043","1304800010904",34.69
"1300100010043","1304800012101",51.74
"1300100010043","1304800012173",30.33
"1300100010043","1305101482183",26.01
"1300100010043","1307700010111",25.87
"1300100010043","1307700010380",46.16
"1300100010043","1307700010588",27.25
"1300100010043","1307700010677",50.28
"1300100010043","1307700100431",281.05
"1300100010043","1307700100802",9.37
"1300100010043","1307700101196",47.09
"1300100010043","130770108111A",24.46
"1300100010043","130770164_X",47.03
"13001001A","13001001A",616.05
"13001001A","130010024",109.25
"13001001A","130010039",54.01
"13001001A","130040011",50.82
"13001001A","1301000020080",32.46
"13001001A","1301200010155",23.17
"13001001A","130120013",28.86
"13001001A","130160205",57.68
"13001001A","1302400010052",23.44
"13001001A","130240014",76.91
"13001001A","130240029",459.57
"13001001A","130240033",206.6
"13001001A","130240048",51.3
"13001001A","130350018",102.65
"13001001A","130350022",137.57
"13001001A","130450014",23.59
"13001001A","1304800010764",243.2
"13001001A","1304800010779",35.34
"13001001A","1304800011565",43.05
"13001001A","1304800012008",20.35
"13001001A","13056015A",152.56
"13001001A","1306900190410",17.67
"13001001A","1307700010287",26.01
"13001001A","1307700010499",23.44
"13001001A","1307700010501",6.97
"13001001A","130770001054A",36.7
"13001001A","1307700010588",33.43
"13001001A","130770001061A",23.17
"13001001A","1307700100431",53.67
"13001001A","1307700100446",85.63
"13001001A","130770164_X",66.09
"13001001A","130820022_S",17.67
"13001001A","130830034",23.44
"130010024","1300100010043",1592.85
"130010024","13001001A",23.59
"130010024","130010024",5275.16
"130010024","130010039",3176.38
"130010024","1301600010050",51.94
"130010024","1301600210281",24
"130010024","130160205",115.99
"130010024","130240029",25.25
"130010024","130240048",131.05
"130010024","1303500010037",24.73
"130010024","130350018",48.86
"130010024","130350022",22.99
"130010024","1304800010980",147.86
"130010024","1304800012120",25.87
"130010024","1304800012347",22.3
"130010024","1304800012417",97.59
"130010024","1305101081414",45.01
"130010024","1305300010088",26.25
"130010024","13053004A",49.31
"130010024","130560001008A",1225.01
"130010024","130560001022A",20.27
"130010024","1305600050164",52.9
"130010024","1305600360253",28.86
"130010024","1305600360268",128.37
"130010024","1305600360272",164.72
"130010024","13056015A",119.44
"130010024","1305700010072",56.92
"130010024","1305700010087",119.19
"130010024","13057002A",52.1
"130010024","1306100010677",17.34
"130010024","130690016_I",18.83
"130010024","1307300010127",40.66
"130010024","1307700010018",28.86
"130010024","1307700010022",162.58
"130010024","1307700010037",39.96
"130010024","1307700010075",35.57
"130010024","130770001008A",40.41
"130010024","1307700010111",375.4
"130010024","1307700010130",10.77
"130010024","1307700010215",97.64
"130010024","130770001022A",23.44
"130010024","1307700010342",27.25
"130010024","1307700010484",138.41
"130010024","1307700010499",220.94
"130010024","1307700010501",116.91
"130010024","1307700010516",173.99
"130010024","1307700010535",22.3
"130010024","130770001054A",145.98
"130010024","1307700010573",26.25
"130010024","1307700010588",214.66
"130010024","1307700010605",94.09
"130010024","1307700010639",29.74
"130010024","1307700010696",359.78
"130010024","1307700010709",20
"130010024","1307700010713",316.29
"130010024","1307700011177",34.36
"130010024","1307700100431",632.63
"130010024","1307700100446",448.43
"130010024","1307700100802",120.78
"130010024","1307700101139",50.84
"130010024","1307700201088",26.05
"130010024","1307700530874",26.25
"130010024","1307700680944",69.56
"130010024","130770108111A",27.25
"130010024","130770145",173.98
"130010024","130770164_X",1206.72
"130010024","1308100010186",123.54
"130010024","1308300010157",39.25
"130010024","13083002A",23.58
"130010024","130830034",29.64
"130010039","1300100010043",579.64
"130010039","13001001A",54.2
"130010039","130010024",1725.45
"130010039","130010039",1286.59
"130010039","130040026",92.5
"130010039","1301600010120",51.85
"130010039","130160205",29.64
"130010039","1302400010052",21.66
"130010039","130240014",26.05
"130010039","130240048",106.67
"130010039","130350022",52.3
"130010039","1304500010033",111.88
"130010039","1304800010904",214.97
"130010039","1304800012101",26.01
"130010039","1305101201471",30.17
"130010039","13056015A",51.64
"130010039","130570015",24.73
"130010039","130570049",48.55
"130010039","1307700010060",26.01
"130010039","1307700010075",23.44
"130010039","1307700010111",63.85
"130010039","1307700010215",97.82
"130010039","130770001022A",8.98
"130010039","1307700010338",186.17
"130010039","1307700010412",37.35
"130010039","130770001047A",27.25
"130010039","1307700010499",12.33
"130010039","1307700010516",35.7
"130010039","1307700010573",23.58
"130010039","1307700010624",49.3
"130010039","1307700010681",82.64
"130010039","1307700010696",27.25
"130010039","1307700010713",29.64
"130010039","1307700010889",23.03
"130010039","1307700011001",26.05
"130010039","1307700100431",459.69
"130010039","1307700100446",838
"130010039","1307700100802",340
"130010039","1307700101139",17.36
"130010039","1307700101196",26.91
"130010039","1307700680925",43.85
"130010039","1307701081124",229.79
"130010039","130770164_X",430.83
"130010039","130770179",23.44
"130010039","130830034",22.99
"1300200010125","1300200010125",43.17
"1300200010125","130020001013A",477.72
"1300200010125","1300200130248",25.25
"1300200010125","130020017",303.87
"1300200010125","130020040",160.64
"1300200010125","1304800011940",15.66
"1300200010125","1305600010037",26.25
"1300200010125","1307700010272",314.55
"1300200010125","1307700010412",25.25
"1300200010125","1307700010696",22.3
"1300200010125","1307700100431",25.25
"1300200010125","1307700201088",370.76
"1300200010125","130770145",54.31
"1300200010125","130770164_X",29.74
"130020001013A","130020001013A",378.08
"130020001013A","130020017",328.42
"130020001013A","130020040",2668.03
"130020001013A","130510577_Z",26.25
"130020001013A","1307700010060",183.4
"130020001013A","130770001054A",54.1
"130020001013A","1307700010573",26.25
"130020001013A","1307700010588",25.25
"130020001013A","1307700010658",57.97
"130020001013A","1307700201105",25.25
"130020001020A","1300200010125",16.92
"130020001020A","1307700010272",24.46
"1300200070214","130020001013A",298.58
"1300200070214","130020017",25.25
"1300200070214","130020040",25.87
"1300200070214","1304800012154",15.81
"1300200070229","1300200010125",15.66
"1300200070229","130020017",127.28
"1300200070229","130020040",13.78
"1300200130163","1300200010125",26.01
"1300200130163","130020001013A",660.24
"1300200130163","1300200130233",24
"1300200130163","1307700010342",6.43
"1300200130233","1300200130248",29.64
"1300200130233","130020017",19.16
