"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"13001001A","13001001A",4
"13001001A","130240033",1
"13001001A","130350022",1
"130010024","130010024",15
"130010024","130010039",5
"130010024","1307700010499",1
"130010024","1307700010677",1
"130010024","1307700100446",1
"130010024","130770068093A",1
"130010024","130770145",1
"130010024","130770164_X",1
"130010039","13001001A",2
"130010039","130010024",4
"130010039","130010039",4
"130010039","130040026",1
"130010039","1301600010347",1
"130010039","130350018",1
"130010039","130510107140A",1
"130010039","1307700010111",1
"130010039","1307700100431",1
"130010039","1307700100802",1
"130010039","130770164_X",4
"1300200010125","1307700201088",1
"130020001013A","130020040",1
"130020001020A","130020017",1
"1300200070214","130020040",1
"1300200070214","1305101341876",1
"1300200130233","1300200130267",1
"1300200130233","130020017",1
"1300200130248","130020017",1
"1300200160106","130020040",2
"1300200160106","130570049",1
"1300200160106","130770164_X",1
"1300200160182","130770164_X",2
"130020017","1300200010125",1
"130020017","1300200130163",1
"130020017","130020017",12
"130020017","130020040",3
"130020017","130480020_V",1
"130020017","13057002A",1
"130020017","1307700010037",2
"130020017","1307700201088",2
"130020017","1307700201092",3
"130020017","1307700201105",1
"130020017","130770145",2
"130020017","130770164_X",1
"130020017","130770183",1
"130020040","1300200070214",1
"130020040","1300200160182",2
"130020040","130020017",1
"130020040","130020040",8
"130020040","13057002A",1
"130020040","1307700010484",1
"130020040","1307700201088",1
"130020040","1307700201092",1
"130020040","1307700201105",1
"130020040","130770145",3
"130020040","130770164_X",2
"130020040","130770179",1
"130020040","130770183",2
"130020040","130830034",1
"1300300010103","1300300050391",1
"1300300010103","1300900050107",1
"1300300010103","1305400010047",1
"1300300010103","130540013",1
"1300300010118","1300300010160",1
"1300300010118","1300300010349",1
"1300300010118","130030029_K",1
"1300300010118","130090018",1
"1300300010122","130090018",1
"1300300010122","130540121",1
"1300300010141","1300300010141",1
"1300300010141","1300300010156",1
"1300300010141","1300300010175",1
"1300300010141","1300300010211",2
"1300300010141","1300300010372",1
"1300300010141","1300300050391",1
"1300300010141","130230017",1
"1300300010141","1305400190102",1
"1300300010156","1300300010160",1
"1300300010156","1300300010175",1
"1300300010156","130030001018A",1
"1300300010156","1300300010226",1
"1300300010156","1300300010368",2
"1300300010156","130030090",3
"1300300010156","130100001017A",3
"1300300010156","130100339",1
"1300300010156","130540013",1
"1300300010156","1305400190102",1
"1300300010156","130760044",1
"1300300010156","1308300010180",1
"1300300010160","1300300010160",2
"1300300010160","1300300010211",1
"1300300010160","1300300010264",1
"1300300010160","1300300010315",1
"1300300010160","1300300010368",1
"1300300010160","1300300100245",2
"1300300010160","130030029_K",1
"1300300010160","1300900050111",1
"1300300010160","130100339",1
"1300300010160","1303000480401",1
"1300300010175","1300300010279",1
"1300300010175","1300300010349",1
"1300300010175","130030033",1
"1300300010175","1300900050111",1
"1300300010175","130090018",2
"1300300010175","1302300010089",1
"1300300010175","1304800011137",1
"1300300010175","130540013",1
"130030001018A","130030029_K",1
"130030001018A","130030033",2
"130030001018A","130090018",1
"130030001018A","1303000010327",1
"130030001018A","1304100010072",1
"130030001018A","1304100010208",1
"130030001018A","1304800011955",1
"130030001018A","1304800012370",1
"130030001018A","130480001260A",1
"130030001018A","130480001292A",1
"130030001018A","1305101522395",1
"130030001018A","1306100020639",1
"130030001018A","130690016_I",1
"1300300010211","1300300010160",1
"1300300010211","1300300010283",1
"1300300010211","1300300010368",1
"1300300010211","1300300010372",2
"1300300010211","1300300050391",1
"1300300010211","130030090",1
"1300300010211","1300900010126",1
"1300300010211","1300900010145",1
"1300300010211","1302300010036",1
"1300300010211","1304800011940",1
"1300300010226","1300300010160",2
"1300300010226","1300300010368",1
"1300300010226","130030029_K",1
"1300300010226","130030090",1
"1300300010226","1302300120055",1
"1300300010226","1304800010389",1
"1300300010226","130540013",1
"130030001025A","130030033",1
"1300300010264","1300300010211",1
"1300300010264","1300300010283",2
"1300300010264","1300300010368",1
"1300300010264","130540013",1
"1300300010279","1300300010103",1
"1300300010279","1300300010368",2
"1300300010279","1300900050107",1
"1300300010279","1301000020184",1
"1300300010279","13030005A",1
"1300300010283","1300300010118",1
"1300300010283","1300300010141",4
"1300300010283","1300300010160",1
"1300300010283","1300300010175",1
"1300300010283","1300300010279",2
"1300300010283","1300300010372",1
"1300300010283","130030090",1
"1300300010283","1300900050107",1
"1300300010283","130090018",3
"1300300010283","13030005A",1
"1300300010315","130030001018A",1
"1300300010315","130030033",1
"1300300010334","1300300010353",1
"1300300010334","130030033",1
"1300300010349","130030001025A",1
"1300300010349","1300300010349",1
"1300300010349","1300300010353",1
"1300300010349","1300300010368",1
"1300300010349","1300300050404",1
"1300300010349","130030033",1
"1300300010349","130090018",1
"1300300010349","130210012",1
"1300300010349","130230017",1
"1300300010349","1304800010213",1
"1300300010349","130540013",1
"1300300010353","1300300010353",1
"1300300010353","130030029_K",1
"1300300010353","130090018",1
"1300300010353","1304800011387",1
"1300300010368","1300300010103",1
"1300300010368","1300300010118",1
"1300300010368","1300300010141",2
"1300300010368","1300300010160",1
"1300300010368","1300300010264",1
"1300300010368","1300300010368",1
"1300300010368","1300300010372",1
"1300300010368","130030029_P",1
"1300300010368","130030033",1
"1300300010368","1300900010126",1
"1300300010372","130030001018A",1
"1300300010372","1300300010372",2
"1300300010372","130030033",2
"1300300010372","130090018",2
"1300300010372","1306300010116",1
"1300300050391","1300300010141",1
"1300300050391","1300300010349",1
"1300300050391","1300300050391",1
"1300300050391","1300300050404",1
"1300300050391","130030029_P",1
"1300300050391","130090018",1
"1300300050391","1305000010090",1
"1300300050391","1305400190102",2
"1300300050391","130650017",3
"1300300050404","1300900010145",1
"1300300050404","1304800012807",1
"1300300100230","1300300010283",1
"1300300100230","130030090",4
"1300300100230","1302300120055",2
"1300300100230","130540121",1
"1300300100245","1300300100245",1
"1300300100245","1300500010199",1
"1300300100245","130090018",1
"1300300120086","130030029_K",1
"1300300120086","130030029_P",4
"1300300120086","1303000480401",1
"130030014","1300300010349",1
"130030014","130030033",3
"1300300140387","1300300010315",1
"1300300140387","130030090",1
"130030029_D","130030029_D",1
"130030029_D","130030033",2
"130030029_D","130090018",1
"130030029_K","1300300010118",1
"130030029_K","1300300010156",1
"130030029_K","1300300010160",1
"130030029_K","1300300010175",2
"130030029_K","1300300010283",1
"130030029_K","1300300120086",1
"130030029_K","130030029_K",15
"130030029_K","130030033",3
"130030029_K","130030090",1
"130030029_K","130230001006A",1
"130030029_K","130540013",1
"130030029_K","130550001010A",1
"130030029_K","130550044",1
"130030029_K","130550059",1
"130030033","1300300010156",1
"130030033","1300300010160",1
"130030033","130030001018A",1
"130030033","1300300010279",2
"130030033","1300300010283",2
"130030033","130030001032A",2
"130030033","1300300010349",1
"130030033","1300300010372",4
"130030033","1300300050391",1
"130030033","130030029_D",2
"130030033","130030033",1
"130030033","130030090",2
"130030033","130090018",7
"130030033","130120032",1
"130030033","130230017",2
"130030033","1304100010104",1
"130030033","1305500010148",1
"130030033","130550059",1
"130030090","1300300010156",2
"130030090","1300300010160",1
"130030090","1300300010353",1
"130030090","1300300100230",1
"130030090","1300300100245",1
"130030090","130030090",4
"130030090","1300900010145",1
"130030090","1300900050107",1
"130030090","1300900050111",1
"130030090","130090018",6
"130030090","1304100010208",3
"130030090","1305200010288",2
"130030090","1305400010047",1
"130030090","130540121",3
"130030090","130760044",1
"130040001005A","1300400010064",1
"130040001005A","1307700680925",1
"130040011","1307700201092",1
"130040026","130040026",1
"130050001017A","1300500010199",1
"130050001017A","1306500010106",1
"1300500010199","130520023",1
"1300500010199","1306500010106",2
"1300500010199","1306500010110",1
"1300500010201","1300500010216",2
"1300500010201","130050019",2
"1300500010201","1301000070038",1
"1300500010201","1302300140110",1
"1300500010201","130540013",1
"1300500010201","1306500010089",1
"1300500010201","1306500010106",2
"1300500010201","130650017",4
"1300500010201","1306700090454",1
"1300500010201","130670030",1
"1300500010201","1307400020088",1
"1300500010220","1306500010106",1
"1300500010451","1307400010162",3
"130050005024A","1300500010199",1
"130050005024A","130050005024A",1
"130050005024A","130050038_V",3
"1300500060076","1300500060396",1
"1300500060381","1300500060146",1
"130050019","1300500010201",5
"130050019","130050019",1
"130050019","1302300140110",1
"130050019","130650001006A",1
"130050019","130650017",6
"130050038_V","1300500010199",1
"130050038_V","130050005024A",3
"130050038_V","130050038_V",4
"130050038_V","1302300010036",1
"130050038_V","1302300140110",1
"130050038_V","130410015",1
"130050038_V","130520019",1
"130050038_V","1306500010055",1
"130050038_V","1307400010177",1
"130050057","1300500010201",1
"130050057","130050019",1
"1300600010073","130060020",2
"1300600010088","13006004A",1
"130060016","130060016",1
"130060016","130060020",1
"130060016","1303000010223",1
"130060016","1305500170129",1
"130060020","130060016",1
"130060020","130060020",7
"130060020","13006004A",1
"130060020","1302900010114",1
"130060020","1303000010219",1
"130060020","1303000010223",1
"130060020","130580027",1
"130060020","130840116",1
"130060035","13029003A",1
"130060035","130290063",1
"130060035","130300035044A",1
"130060035","130300045",1
"13006004A","130060020",3
"13006004A","13006004A",4
"13006004A","1303000010242",1
"13006004A","130840116",1
"1300700010051","1300700010085",1
"1300700010070","130070047",1
"1300700010085","130080044",1
"130070001009A","1300700010085",1
"130070001009A","130070028",1
"130070001009A","130070047",3
"130070001009A","1300800010097",2
"130070001009A","130080044",1
"130070013","1300800050129",1
"130070013","1302100010135",1
"130070028","1300700010066",2
"130070028","130070001009A",1
"130070028","130070028",2
"130070028","1300800010063",1
"130070028","1300800010241",1
"130070028","1300800010260",1
"130070047","130070001009A",1
"130070047","130070047",3
"130070047","1300800010171",1
"130070047","13008003A",1
"130070047","130080044",1
"1300800010059","1300800010097",2
"1300800010059","1300800010114",1
"1300800010059","1300800010260",1
"1300800010059","130080001028A",1
"1300800010059","1300800010307",2
"1300800010059","13008003A",1
"1300800010063","1300700010066",2
"1300800010063","130070028",1
"1300800010063","1300800010186",1
"1300800010097","130070001009A",1
"1300800010097","130080025",3
"1300800010114","130070047",1
"1300800010152","1300800010171",1
"1300800010152","13008003A",3
"1300800010152","1304800013078",1
"1300800010152","130520023",1
"1300800010167","1300700010066",1
"1300800010167","1300800010063",1
"1300800010167","1300800010167",1
"1300800010167","1306100010304",1
"1300800010167","130610022",1
"1300800010171","1300800010097",1
"1300800010171","1300800010152",1
"1300800010171","1300800010171",1
"1300800010171","1300800010260",1
"1300800010171","1300800010294",1
"1300800010171","130080044",1
"1300800010186","1300800010171",1
"1300800010186","130080025",2
"1300800010241","1300800010063",1
"1300800010256","1300800010063",1
"1300800010256","1300800010152",1
"1300800010256","1300800010256",2
"1300800010256","130080025",4
"1300800010256","130610037",1
"130080001028A","1300800010097",1
"130080001028A","1300800010152",5
"130080001028A","1300800010307",1
"130080001028A","13008003A",1
"130080001028A","130080044",1
"130080001028A","1302100010116",1
"130080001028A","130210012",1
"130080001028A","130770164_X",1
"1300800010294","130070028",1
"1300800010294","130080001028A",1
"1300800010294","130080044",1
"1300800010307","1300800010059",1
"1300800010307","13008003A",1
"1300800050129","1300700010066",1
"1300800050129","13008003A",1
"1300800050129","130210012",1
"1300800050133","1300800050133",1
"1300800050133","1302100010065",1
"1300800050133","130210012",1
"1300800110148","130080044",1
"130080025","130070028",1
"130080025","1300800010059",1
"130080025","1300800010097",1
"130080025","1300800010114",1
"130080025","1300800010171",2
"130080025","1300800010256",2
"130080025","130080001028A",4
"130080025","1300800010307",1
"130080025","130080025",5
"130080025","13008003A",1
"130080025","130210031",4
"130080025","1306100010588",2
"130080025","1306100010677",1
"130080025","1306100020249",1
"130080025","130610022",3
"13008003A","1300800010059",3
"13008003A","1300800010097",1
"13008003A","1300800010152",1
"13008003A","1300800010171",1
"13008003A","1300800010186",1
"13008003A","1300800050133",4
"13008003A","130080025",2
"13008003A","13008003A",8
"13008003A","1302100010101",1
"13008003A","1302100010116",2
"13008003A","130210012",2
"13008003A","130210031",1
"13008003A","1306100010323",2
"13008003A","1306100010677",1
"13008003A","130610022",1
"13008003A","130720011",1
"13008003A","1307700010709",1
"13008003A","1307700100802",1
"130080044","130070028",1
"130080044","130070047",1
"130080044","130080001028A",1
"130080044","1306100020380",1
"1300900010126","1300300010315",1
"1300900010126","130030090",1
"1300900010126","1300900050107",1
"1300900010126","130090018",3
"1300900010126","130520023",1
"1300900010130","1300300010283",1
"1300900010130","130090018",2
"1300900010130","130580027",1
"1300900010145","1300300010175",1
"1300900010145","1300300100230",1
"1300900010145","1300300120086",1
"1300900010145","130030090",3
"1300900010145","1300900050111",1
"1300900010145","130090018",3
"1300900010145","130540121",1
"1300900010145","130580031",1
"1300900010145","130690016_I",1
"130090001015A","1305200010292",1
"1300900050107","1300900010145",1
"1300900050107","130090018",1
"1300900050107","130480001292A",1
"1300900050107","130540013",1
"1300900050111","1300900050107",1
"1300900050111","130520038",1
"130090018","1300300010141",1
"130090018","1300300010160",1
"130090018","130030001018A",1
"130090018","1300300010226",1
"130090018","1300300010279",1
"130090018","1300300010315",1
"130090018","1300300010334",1
"130090018","1300300100230",2
"130090018","130030033",5
"130090018","130030090",6
"130090018","1300900010126",1
"130090018","1300900010130",2
"130090018","1300900010145",2
"130090018","1300900050111",1
"130090018","130090018",20
"130090018","130100324",1
"130090018","1302300010036",1
"130090018","1302700010092",1
"130090018","13030005A",1
"130090018","1304100010072",1
"130090018","1304800010139",2
"130090018","1304800010389",1
"130090018","1304800010478",1
"130090018","1304800010622",1
"130090018","130480001214A",1
"130090018","130480001292A",2
"130090018","1305000010103",1
"130090018","1305200190324",1
"130090018","130520023",4
"130090018","130550059",2
"130090018","1306500010089",1
"1301000010023","1301000010023",2
"1301000010023","1301000020080",1
"1301000010023","1301000020095",1
"1301000010023","1301000080292",1
"1301000010023","130100339",1
"1301000010023","130670011_W",1
"1301000010023","130670030",3
"1301000010023","1307000010036",1
"1301000010023","1307400010124",1
"1301000010023","1307600010379",1
"1301000010023","1307600220059",1
"1301000010023","1307600240542",1
"1301000010023","130760063",2
"1301000010042","1301000010023",1
"1301000010042","1301000010042",1
"1301000010042","1301000020080",2
"1301000010042","1301000020108",1
"1301000010042","1301000020184",1
"1301000010042","1301000060273",1
"1301000010042","1301300100237",2
"1301000010042","13041002A",1
"1301000010042","1306700050488",1
"1301000010042","130670030",1
"1301000010042","1307400010177",1
"1301000010042","130740016",3
"1301000010042","130760010",2
"130100001017A","1301000070038",1
"130100001017A","1303000010134",1
"130100001017A","130700002013A",1
"130100001017A","130760010",1
"1301000020080","1301000010042",4
"1301000020080","1301000020080",3
"1301000020080","1301000020254",1
"1301000020080","1301000080292",1
"1301000020080","130100324",4
"1301000020080","130100339",1
"1301000020080","13013003A",1
"1301000020080","13041002A",1
"1301000020080","1306500010110",1
"1301000020080","1307000010021",1
"1301000020080","130750013_Q",1
"1301000020095","1301000010023",1
"1301000020095","1301000080305",1
"1301000020095","130100324",1
"1301000020095","1307400020088",1
"1301000020108","130050019",1
"1301000020108","1301000020095",1
"1301000020108","1301000020108",1
"1301000020108","130100324",5
"1301000020108","130100339",2
"1301000020108","1307400010162",1
"1301000020254","1307400010069",1
"1301000020254","1307600010082",1
"1301000020254","1307600080951",1
"1301000020269","1301300060241",1
"1301000020362","130100324",2
"1301000020362","1301300010133",1
"1301000060273","130100324",2
"1301000070038","1300500010201",1
"1301000070038","1301000010042",2
"1301000070038","1301000020080",1
"1301000070038","1301000020108",1
"1301000070038","1301000060273",1
"1301000070038","1301000070038",3
"1301000070038","130100324",2
"1301000070038","130100339",3
"1301000070038","1301300100222",1
"1301000070038","1301300130203",1
"1301000070038","13013003A",1
"1301000070038","1307400010124",1
"1301000070038","1307400010162",3
"1301000070038","1307400010177",5
"1301000070038","130740016",5
"1301000070038","130760025",1
"1301000070038","130840050",1
"1301000080288","1301000020080",1
"1301000080292","1301000010023",1
"1301000080292","1301000070038",1
"1301000080292","1301000080288",1
"1301000080292","1301300100222",1
"1301000080292","1301300100237",1
"1301000080292","13013003A",2
"1301000080305","1301000020095",1
"130100008031A","130100008031A",1
"130100008031A","130100324",1
"130100324","1301000020080",3
"130100324","1301000020108",1
"130100324","1301000020269",1
"130100324","1301000080288",2
"130100324","130100008031A",1
"130100324","130100324",29
"130100324","130100339",2
"130100324","1301300100222",1
"130100324","1301300100237",1
"130100324","130130010_X",2
"130100324","130130044",1
