"hogares","conteo","POB1"
"1300100010043",1,439
"13001001A",2,9304.31171312415
"130010024",16,6631.59548145663
"130010039",17,5893.09280541922
"1300200010125",5,1753
"130020001013A",2,2108
"130020001020A",1,47
"1300200130163",1,1150
"1300200130248",2,940
"1300200160106",15,2090
"1300200160182",5,783
"130020017",55,18025.3855691103
"130020040",109,10971.6144308897
"1300300010103",6,434
"1300300010118",11,1102
"1300300010141",14,3205
"1300300010156",49,1351
"1300300010160",37,4246
"1300300010175",78,2650
"130030001018A",40,1386
"1300300010211",62,1540
"1300300010226",39,1301
"130030001025A",4,674
"1300300010264",3,829
"1300300010279",16,2223
"1300300010283",37,1740
"1300300010300",2,44
"1300300010315",3,235
"130030001032A",2,165
"1300300010334",1,3
"1300300010349",45,2260
"1300300010353",21,1627
"1300300010368",32,3323
"1300300010372",15,1469
"1300300050391",9,1925
"1300300050404",14,1109
"1300300100230",3,1347
"1300300100245",5,2137
"1300300120086",34,2754
"1300300140387",1,3131
"130030029_D",2,51.4918977363373
"130030029_K",40,1636.27243017758
"130030029_P",3,240.824905462904
"130030033",29,5810.39503677767
"130030090",78,1606.64944164311
"130040001005A",2,912
"1300400010064",1,576
"1300400010079",1,440
"130040011",3,3072.59849905936
"130040026",5,4915.40150094064
"130050001017A",2,114
"1300500010184",2,486
"1300500010199",9,2873
"1300500010201",27,1708
"1300500010220",2,1212
"130050005024A",18,2813
"1300500060076",8,861
"1300500060381",4,476
"1300500060396",1,472
"130050019",4,1079.53241019751
"130050038_V",17,826.076833476982
"130050057",4,1003.32312507311
"130050061",1,717.401890810121
"1300600010069",1,78
"1300600010073",1,827
"1300600010088",1,889
"130060016",4,3610.79511596575
"130060020",5,3737.85171786658
"13006004A",2,5316.44090565051
"1300700010085",3,1363
"130070001009A",3,3309
"130070013",2,2707.9965507236
"130070028",9,2964.44353115498
"130070047",2,1255.55991812142
"1300800010059",9,2568
"1300800010063",13,3768
"1300800010097",4,4012
"1300800010114",1,1849
"1300800010152",16,2786
"1300800010167",1,1608
"1300800010171",7,2469
"1300800010186",3,1771
"1300800010241",1,211
"130080001028A",17,1941
"1300800010294",5,2340
"1300800050129",6,1578
"1300800050133",2,1116
"1300800110148",1,1090
"130080025",23,3533.00663450331
"13008003A",45,2883.70489622571
"130080044",6,4052.84453641764
"1300900010060",3,349
"1300900010126",9,981
"1300900010130",23,791
"1300900010145",41,352
"130090001015A",3,1105
"1300900050107",21,1551
"1300900050111",20,1121
"130090018",153,13586
"1301000010023",20,2517
"1301000010042",8,4163
"130100001017A",4,142
"1301000020080",5,3778
"1301000020095",2,2867
"1301000020184",2,622
"1301000020254",1,653
"1301000020362",1,988
"1301000060273",2,3384
"1301000070038",21,2797
"1301000080288",2,1104
"1301000080292",4,1226
"1301000080305",1,1263
"130100324",12,913.050280235829
"130100339",52,1508.94971976417
"1301200010085",14,1464
"1301200010117",28,2939
"1301200010121",7,1136
"1301200010136",59,1499
"1301200010140",12,1214
"130120013",34,6078.26843831878
"130120032",23,6094.91247745755
"130120066",111,4015.6695908778
"1301300010078",2,1455
"1301300010082",4,1516
"1301300010133",9,3253
"1301300010148",3,2598
"1301300060114",4,2154
"1301300060129",6,2248
"1301300060241",1,246
"130130010_X",18,4628.97165669213
"1301300100222",7,1917
"1301300100237",2,1266
"1301300130203",6,1505
"1301300130256",1,1325
"1301300130260",3,1421
"13013003A",29,3675.30797396831
"130130044",5,6483.28602941961
"1301400010075",1,756
"130140001008A",1,558
"1301400010094",3,1033
"1301400010107",1,838
"1301400010111",3,235
"130140018",8,5172.86731855713
"130140037",6,4312.13268144287
"1301500010087",2,755
"130150015",4,1772.4138918429
"13015002A",1,3322.63844310698
"130150049",27,3057.76081978207
"130150053",2,2421.99641962653
"1301600010050",24,4328
"1301600010065",10,2278
"1301600010084",10,1415
"1301600010099",4,1245
"1301600010101",7,1384
"1301600010116",1,1941
"1301600010120",7,3168
"1301600010188",1,318
"1301600010192",3,277
"1301600010309",6,1330
"1301600010313",1,2060
"1301600010347",8,786
"1301600210281",2,1535
"1301600210296",1,1539
"1301600290277",1,1486
"130160031",3,7100.21373616603
"1301600390328",2,1789
"1301600390332",5,1221
"130160205",30,6836.4683726201
"13016021A",2,95.9911052796844
"130170024",2,4479.30030662139
"130170039",2,3837.40964753204
"130180001006A",5,2197
"130180017",3,7336.69594511556
"130180021",3,8151.3185961141
"1301900010033",1,626
"130190014",9,8540.1700460188
"1301900150086",2,1491
"130190029",9,6595.8299539812
"1302000010068",1,247
"1302000010072",1,202
"13020002A",1,908.191161223471
"130200034",5,782.143177165198
"1302100010050",9,379
"1302100010065",12,2119
"130210001007A",2,1922
"1302100010101",5,1872
"1302100010116",10,1626
"130210012",119,2837.94665840702
"130210031",9,2753.05334159298
"1302200010058",22,1324
"1302200010062",11,950
"1302200010077",13,940
"13022001A",246,7584.92624768819
"130220024",221,5390.07375231181
"1302300010036",28,4483
"1302300010040",20,2763
"130230001006A",4,1319
"1302300010074",4,1237
"1302300010089",1,1533
"1302300120055",24,3811
"1302300140093",3,1587
"1302300140106",2,252
"1302300140110",14,2373
"1302300140125",11,1803
"130230017",79,15057
"1302400010052",49,249
"130240014",146,4621.78989343908
"130240029",4,3244.91248065061
"130240033",4,2337.97016817765
"130240048",130,6985.32745773266
"13025005A",10,4072.41259274496
"1302600010023",1,770
"1302700010105",1,1781
"130270035",6,5479.38544778058
"13027004A",1,3414.55812144778
"1302800010136",2,925
"1302800010189",1,1672
"1302800010193",1,1955
"1302800010206",1,1525
"1302800010244",2,2230
"1302800010259",1,1772
"1302800010314",1,3478
"1302800010494",3,2092
"130280001055A",1,1199
"1302800230348",1,1034
"130280047",5,20756.0553303957
"130280051",2,20607.7553832745
"1302800880460",1,1589
"130290001010A",2,2975
"1302900010114",3,4431
"1302900010256",6,1174
"1302900010260",3,1273
"130290010",8,4032.55294404753
"1302900240237",1,732
"13029003A",8,4687.81151398121
"130290044",8,5885.39817536431
"130290063",5,7365.46000415819
"130290078",5,4971.55401939038
"1303000010083",8,2247
"1303000010134",4,1765
"1303000010187",3,1280
"1303000010204",35,1738
"1303000010219",6,2362
"1303000010223",18,3451
"1303000010238",12,2930
"1303000010242",12,3521
"1303000010280",1,582
"1303000010327",24,3861
"1303000010331",3,1706
"1303000010346",2,2287
"1303000010350",4,1984
"1303000010365",6,1116
"130300001037A",17,1625
"1303000010384",3,1365
"1303000010399",1,1674
"130300011",1,16000.8257175998
"130300026",17,9240.66920458345
"130300030",15,10927.5988078867
"1303000350435",1,1036
"130300035044A",7,1125
"130300045",19,7400.80637712754
"1303000480401",28,1140
"1303000480416",2,1128
"1303000480420",5,1114
"13030005A",107,10352.0998928025
"1303100010076",5,2118
"1303100010080",4,1717
"1303100010127",1,290
"130310023",11,1234.67872485983
"130310042",2,2048.32267257805
"130310057",1,1784.56482444736
"130310061",1,1440.09303014496
"130320016",1,4604
"1303400010044",3,590
"130340010",1,2184.89637220498
"130340025",1,2766.57318527827
"13034003A",7,3932.53044251675
"1303500010037",8,2199
"130350018",16,4504.61120013839
"130350022",7,6180.89587347778
"1303600010053",9,693
"1303600010068",6,1095
"130360015",6,2901.351210903
"13036002A",19,2633.21134918573
"130360034",3,2126.43743991128
"1303700010154",4,1496
"1303700010169",1,17
"1303700010188",5,1129
"1303700010192",7,632
"130370012",2,1948.74198170956
"130370027",16,1439.68548181312
"130370031",5,1511.19193602618
"130370046",1,1861.84233462371
"130370050",28,2018.98275822469
"13037007A",10,2476.97559588111
"130370099",2,2531.68949027111
