"hogares","conteo","POB1"
"13001001A",1,9304.31171312415
"130010024",2,6631.59548145663
"130020017",1,18025.3855691103
"130020040",1,10971.6144308897
"1300300010156",1,1351
"1300300010175",3,2650
"130030001018A",1,1386
"1300300010211",2,1540
"1300300010279",1,2223
"1300300010283",1,1740
"1300300010349",3,2260
"1300300010368",4,3323
"1300300010372",2,1469
"1300300100230",2,1347
"1300300100245",1,2137
"1300300120086",1,2754
"130030029_K",4,1636.27243017758
"130030033",1,5810.39503677767
"130030090",3,1606.64944164311
"1300500010199",2,2873
"1300500010201",1,1708
"1300500010220",1,1212
"130050038_V",1,826.076833476982
"1300600010088",1,889
"1300800010059",1,2568
"1300800010063",2,3768
"1300800010152",1,2786
"1300800010171",2,2469
"13008003A",1,2883.70489622571
"1300900010130",2,791
"1300900010145",1,352
"130090001015A",1,1105
"1300900050111",1,1121
"130090018",9,13586
"1301000010023",1,2517
"130100324",1,913.050280235829
"130100339",1,1508.94971976417
"1301200010117",2,2939
"1301200010121",1,1136
"1301200010136",2,1499
"1301200010140",1,1214
"130120013",2,6078.26843831878
"130120032",3,6094.91247745755
"130120066",4,4015.6695908778
"1301300100237",1,1266
"1301500010087",1,755
"1301600010050",1,4328
"130160205",2,6836.4683726201
"1302100010050",1,379
"1302100010065",1,2119
"130210001007A",2,1922
"1302200010058",7,1324
"1302200010062",6,950
"1302200010077",9,940
"13022001A",140,7584.92624768819
"130220024",121,5390.07375231181
"1302300010036",2,4483
"1302300010040",1,2763
"1302300120055",4,3811
"130230017",1,15057
"1302400010052",1,249
"130240014",6,4621.78989343908
"130240029",1,3244.91248065061
"130240033",1,2337.97016817765
"130240048",6,6985.32745773266
"1302800010210",1,2700
"1303000010134",1,1765
"1303000010204",1,1738
"1303000010242",2,3521
"1303000010365",1,1116
"13030005A",1,10352.0998928025
"130310061",1,1440.09303014496
"1303500010037",1,2199
"1303700010192",1,632
"130370012",1,1948.74198170956
"130370027",1,1439.68548181312
"13037007A",1,2476.97559588111
"130370116",1,726.041751972956
"1303800010039",2,483
"13038001A",21,5300.50667586512
"130380024",2,3044.49332413488
"1303900010055",3,810
"130390001006A",24,225
"1303900010074",36,2698
"1303900010089",59,1677
"1303900010093",26,1071
"1303900010106",51,916
"1303900010110",58,1630
"1303900010125",12,963
"130390001013A",35,1159
"130390017",61,3175
"1304100010072",3,2454
"130410015",1,8070.26941565518
"130430043",2,1068.75566983824
"1304500010033",1,643
"130450014",5,4585.74317702044
"1304700010076",1,215
"130480001004A",85,2436
"1304800010054",63,2672
"1304800010069",50,2930
"1304800010105",117,2393
"130480001011A",55,1505
"1304800010124",129,1590
"1304800010139",317,1126
"1304800010143",234,2133
"1304800010158",76,2976
"1304800010162",205,5201
"1304800010177",174,3057
"1304800010196",144,1478
"1304800010209",154,1342
"1304800010213",291,1246
"1304800010228",93,2357
"1304800010247",66,1028
"1304800010251",173,2539
"1304800010285",80,2414
"1304800010355",158,1754
"130480001036A",78,1981
"1304800010389",393,3359
"1304800010406",130,3179
"1304800010425",230,1692
"1304800010444",31,1547
"1304800010478",154,4944
"1304800010529",392,1715
"1304800010548",188,212
"1304800010586",151,1994
"1304800010590",36,2817
"1304800010603",44,2104
"1304800010618",43,3256
"1304800010622",124,2299
"1304800010694",2,696
"1304800010745",60,2802
"130480001075A",18,0
"1304800010764",227,2894
"1304800010779",267,780
"1304800010783",81,2771
"1304800010815",62,1816
"130480001082A",20,2284
"1304800010834",34,1391
"1304800010849",11,1086
"1304800010853",16,2153
"1304800010868",64,1790
"1304800010872",29,1063
"1304800010891",40,1984
"1304800010904",7,1692
"1304800010919",247,3373
"1304800010923",161,2762
"1304800010938",90,1409
"1304800010942",56,2915
"1304800010957",31,1188
"1304800010961",82,2106
"1304800010976",330,1586
"1304800010980",157,2786
"1304800010995",118,4035
"130480001100A",72,3054
"1304800011014",2,NA
"1304800011048",80,2441
"1304800011052",117,4039
"1304800011067",39,1860
"1304800011071",30,1421
"1304800011090",45,2255
"1304800011118",71,2722
"1304800011122",47,3004
"1304800011137",61,2456
