"device_IDs","hogares"
"a3QwY3JmdTRxOTk5OmZydHQ4ZWVjZDlrMzk=","1305100631240"
"a3U2Zm1xMnU5ZTNyOjUybGhicHBhN3Y4bTU=","1304800011940"
"a3VmOGZjdGhsOTRoOmRyaDByMDU5ZDFkbWk=","1306900420618"
"a3VsaXB1bHEzOTM1OmQyajlkaHB1MjlpbGk=","1306900420622"
"a3VuM29yY3JqMWZiOjVpcGVlMzUybWRqMWo=","1304800010251"
"a3ZmczBwcjRpaGxrOjVpbjR1Z2FjZzltdm8=","1304800012347"
"a3ZrNDFvOGtqNjIxOmhxY2xuNmJ0cW80NA==","1304800012417"
"aDBpYzY3ZHFjcGRlOjl1NW85b3ZubTU2Zmw=","1305100291202"
"aDByYmsyY2s4YXQ3OjExaGQ3ajhmZWQxN2w=","13038001A"
"aDdoZXQ2cTgwa3ZzOjZxa2hiMTg5aTZ2cTk=","1304800012347"
"aDFvaWsyNGZyZjYxOjRhcjZvMTJsOGx2Z2U=","1304800010251"
"aDgxYmx2dWNmdWU1OmRuZTZ0bHJqN2U1OGI=","130480001036A"
"aDh1bWFkOHJxcHFmOmZxMG05Y21sbG02c2Y=","1304800010139"
"aDI0aGM1c2w3YzRpOjhzdTU3ODF0MGNuZXY=","1304800010919"
"aDI1Z3NtYTBsdG1wOmhpaHQ4bnJvbWQwcw==","130480001285A"
"aDJna3M2N2RxcHVhOjVnZmU1ZmY2NzE0b2E=","1304800010139"
"aDJtcTRmaGlxMDNnOjJ1ZzBlM2xmcjE2ZGg=","130510562_A"
"aDJtNDdxdDhmNjM2OjNmbTdjb2oxaDkwZDk=","1304800010923"
"aDk4ajhrbnBscjRhOnZiN2s5MHVrYjJtbQ==","130690002050A"
"aDkxYWxoMWh1dGMzOjR0ZWMzdXEyYnV2bWE=","13083002A"
"aDlhdTVkbGRrMGRoOmM2ZDVmOGRpODhtN2g=","1304800012417"
"aDlrODkxMWs1cDZpOmU5aW8ybjVxdTI4b2k=","1304800010389"
"aDlzMHVlYmhtMm4xOjFncTVqcThtcWVjMWM=","1304800012347"
"aDNpYXZ0cmJtMjIxOmNnaDVscTE2a2QxazM=","1306900420590"
"aDRqajM4ZXNwaTlpOjludW12MnM1NWlicg==","1304800010980"
"aDVibGszZXJvdGR1Ojk4bHAwdWd0azlkbzY=","1304800010425"
"aDVxbWkwYWsyY2VkOjZtY2V2dDRwZnQxOGk=","1308200030319"
"aDZmNW92bGlnM24xOjV0dm92NWNicjA4MTM=","1305100101128"
"aDZudWMyNm9qdm81OjN1ZGJmMW8xMWUzYTU=","1305100030219"
"aG00aXFlb3FqMnI2OjNiZ2l0M3JtM3YzdGg=","1304800012347"
"aG1tbml1aWt0dWJkOjg1bTdqM2hrZ2Y2dG8=","130690016_I"
"aG1zczA1aW92c3ZnOjVtMGloYmJmajQzaHI=","130820022_S"
"aG1zdjNhM29wNzA5OmZrMG1haTUzMm9qcWw=","1304800010139"
"aG43ZjRiOWtlcHY0OmM1azY4bzQ2ZjBuaDY=","1304800010355"
"aG50MzA1djlzOXU0OjFoOGlvdm84NDc5Z2Q=","1304800010976"
"aG5qMmFtam9tc3Y0OjNrZWcwc2ZlMzQzaDg=","1304800010529"
"aG5wY244N21kZ3VvOmFwOGhscmF0MXQyMXY=","1304800012366"
"aG84dWwzZW5icHN0OjkwaHBqbDFrMTU0N2I=","1306900010374"
"aG8xdWI4cmNuODgyOmRjMzYwNXVvNjZsMmg=","13022001A"
"aG92ZmcyY2xmdTVxOnUwczVhbmFnaHRudA==","1305100631240"
"aG9uMThoaWw2NWl1OjFlNmYwN3BlZDdqNHU=","1304800010177"
"aG9wam43aGc1bGp0OjMxYzJnMGRqYXRrZTA=","1304800012370"
"aG9yaGNqZ2dwOTRyOjFxNHBzZnJkcDZ0NnQ=","1304800010162"
"aGc2MTcyNGhxbmU0OjN2MjJrcGsxZGh2Zzg=","1305101471645"
"aGc4ZWllc3Y3a2JpOmNsb3RqaG8wcG0wdG4=","1304800012417"
"aGdnMnFxcG9yZDNkOm1hN2s3aDkxdWl0ZA==","1304800010976"
"aGdoM20xa2ttamVpOmZvYTl1aTU2dHQxZ3Q=","1304800011372"
"aGdrODYyZ2YzamdyOmRqYmRodW9wYTJiajc=","1304800012313"
"aGdwdTNtNmZldGhuOjluODU2dmg1bzA3YzQ=","1304800010529"
"aGE0MThubmY2YnIzOjE2MTEyNjhnbnVrdDY=","1305101281503"
"aGFlcWlwZzBpbXM4OjlsZmMwNmFxOXRyNmE=","13057002A"
"aGFmZWFlNWVnMGJiOmI2Ymw3cnQ4OXJxZGY=","1304800010389"
"aGFoZnU5ZGZvOHZwOjNoczdpOWx1cjYwYTE=","1305100551221"
"aGFtNGY4Y3JwaDozMHJjZXE2YnE4a2Ny","13083002A"
"aGFuNWhxNGI2YTlsOjI2aHU4N25za2NlYzI=","1304800010355"
"aGFuZThidWU3YmxzOmN0dnI5MWc0cDUyMDI=","1308300010180"
"aGg0cmpsbWJvcTIxOjZuZTYwYnBpbDVqNGM=","1304800010213"
"aGgwYTYzN2Y5cnFoOmU1MXFwNTYwbzY0c2o=","130510100133A"
"aGgyZmE0MWhrbmkwOmJkbHRrZDRtYmlma2M=","1304800012741"
"aGhkMWp0cGczdDUyOjEycnVxODFmYjJmbmE=","1304800012421"
"aGhndHJiZWF0OGI3OjQ2bHI5a2Fnam1sbDg=","1305101091429"
"aGhuOXI4OWtpc3MzOmVzdDNzcnYyc2xyZTY=","1305100141147"
"aGhvcnE4c2ptaGFpOmZxb2UyZzBnY2FiNTE=","1306900051103"
"aGI5cGc3a280ZWx1OjNhb2wzNGhoaTRldnY=","13038001A"
"aGJlcTgyOWNkNTZyOmJiYmtrbmlkNzBnMHY=","1306900420675"
"aGJobXR2MG4wamxkOjRodTVrNWdjMjFzdnE=","1304800010139"
"aGJrZmtlMTFoaTY3OjlyaDY2a2FpcmExOGw=","130690016_I"
"aGk2NHBycTVuYXNnOmQybTJsaDlldnN1cg==","1304800010213"
"aGkwZzlkY2thanVjOjJhcm5oMDlkMDEwZA==","1304800010213"
"aGliYXNhM24wZTBzOmU5YjAwZ3NoMnBmMzY=","130230017"
"aGNvYjE0dDNodDA2OjNmaDcyYXJtY2Y5aWw=","1304800012417"
"aGphM21xZmdzcDFvOmM5NDdvZzk0czIzanU=","130510577_Z"
"aGQxczBybWgwMjQ3OmM0YTRrZmF0Y25sbTk=","1304800011423"
"aGt0MDN0bHIxam02OjZvM2VpbzlwbG42b2c=","1304800010124"
"aGtvNW91YnFqbGs3OjQyZHNiM2ppM2dubWE=","130830034"
"aGU5ZzBtbWNvbXUyOjJrNnMyNjZ0bXF0b2M=","1304800012385"
"aGUxdmNpNzhpOTNlOmNoZTduNm9nYTVudWc=","130480001303A"
"aGVldDI0cjU0Y2xrOjhzZ2VhZTlrMTF2bzI=","130690001029A"
"aGVmOWk1c2VmMzFhOjI4MzgwZ2Z1OG02M3A=","1304800010355"
"aGVqcXFrNnV2aG06NjY3ZHV1YjBnaThidQ==","1304800012154"
"aGVrMDFtdHBkMHRhOmI3NDcxZjZmMmcydmQ=","1304800010213"
"aGVsN2hyM2l1NDRvOmZ2c2pudWRjZXU2cw==","1301600010050"
"aGVvaTNrajFmOXBhOjVhbGMwYmpyczdoamw=","130020040"
"aGw1ZDlocTl0bm4xOjNwc2h1czN0am45cGE=","1305100201170"
"aGwxNG92NnJkcmFkOjNxbmR1Y2lxNGd1Y2o=","1304800012722"
"aGx2MDFzbDVlNmc1OmNoNW9mMG5pZ2pmaTk=","1305100270670"
"aGxwdXYyZmNsNDliOmZmcTZwaHBhbnJqcmU=","13030005A"
"aGY3NmM2b2U5azA3OmZqdmVqcGN1Z2o3M2s=","1304800011090"
"aGYyYnZhcnMyZWJzOmNzMG9rb2l0NnNpbTE=","1305101081414"
"aGZpNHBzOG5lM2duOmFjYXA5c2didnJnMzY=","130690016_I"
"aGZrNTNybG5wM2lvOjIxNWM1YjFobGxsNw==","1304800012347"
"aGZtamVnaTAwamMyOjR2M29nMWY2OG90bWY=","1304800010764"
"aGZvbTd2ZTlpbzRmOjJxczBkMTlvbGh2bWg=","1306900020482"
"aGZwanVhcnBtbWJlOjFhYm1ic2M3MW4xbG0=","1306900080213"
"aGZxbW82NGN1Mm81Omkzc2RjNXZsYmgyaA==","1304800012008"
"aHBqYXVqZGUzaDRqOjYyMXNxN2pzN2lyNnI=","130690016_I"
"aHE1ODNtMzNmZ2ZyOjVla2R2ODA3ZWUzYTU=","130690016_I"
"aHE3ZnV0OGVkZ240OmF0ZGtzMG1wbTRoYg==","1304800011071"
"aHI1ZWJta2Y0Y29vOmRrNXZsOWQ0cHZycjM=","1305100270685"
"aHIxNW9iYjhhY2dhOjhvOGpmajM2aG9sMm4=","1304800010196"
"aHJkOWN2ODd1dTU4OjRiZGZ1cGZzMjZodmw=","1305101471645"
"aHJwczVhaDRsM3VsOmJvYTZpOG9rZGpqb3I=","1304800010872"
"aHJxNnMzdW9saTBiOjZjcWpnOG1kaG1vYWM=","130520038"
"aHQyamdyNHBuYTRyOjc0a2JlcnB1aTE2dXM=","130090018"
"aHR2ODBiamg5anJqOmRwYTFmbzJoYmloNjI=","1304800012648"
"aHRhdjE5cnRtdGRoOjJmZWlrYTUxbnA2Zm4=","1304800011387"
"aHRmNHYyNGN0YnJqOmMwMGxwa2txN3RrZGo=","1304800012192"
"aHRwaXJwczh2ZnNnOmRqZGhkaTZmanBzNnU=","1304800010425"
"aHRyMWxsaWpubnU3OjhjNHViZHJrdW9sZ2g=","130510562_A"
"aHUxcGUyc21sOWlvOmY3MW9mZ3B0MjQ1c3M=","1305100101128"
"aHVsdnJpOW91ZGpsOmM1b2xqN3JoMnI1NXI=","1306900190425"
"aHVvYW1qcGhjY2UxOmF0Yzl0bm1nY21oOGc=","130690016_I"
"aHY1YWNzNW4yaWZoOjI4M2ZyNG01MDE2OWw=","1306100010357"
"aHZkcDBjdHFqOTY2OjN2aHFnaXRxa2xubzc=","1305100270666"
"ajA1MjBjNW1ta2xlOmUyNW9nOGI1aTcwbmg=","1304800010143"
"ajAxN3NybzZ1NWlnOjM4aXI3YXZvdjJvc3Q=","1304800012347"
"ajBhbm4ydnZxZnI4OmVkcmNjZG5ncDcydGc=","1306900051067"
"ajBvaWI5OHNobTduOjhmMWI4M20ybXFzYTU=","1306900051103"
"ajByOTJvNzl1MjN1Ojd2ZWdwaWF0a3RkZWM=","1306900020514"
"ajcxcWdqNDk2dDlxOmFnMzAwbjdma25uczc=","1304800010251"
"ajF2Z2hkMmRzOXJiOjZjdDQxaXVhbWtodG4=","1304800010834"
"ajFnZDNlMDFsbnRrOjNwOXRhbWRnc3FzOGw=","1304800010622"
"ajFsa25oN21ybmlzOmM1ajg2Zm1kMG10NTg=","1304800010213"
"ajFsMDRxcWFoc2NnOmFvY2UwMDkwNjYyNmg=","130480001253A"
"ajFuaGtkN2tzcGxnOmVwOHZuc2ppdDA1dnQ=","1308200010287"
"ajFydG8zZjQ1dmtlOjVydHFvZHU2ZzIwdXM=","1304800011546"
"ajgxc2FiZm02amg1OjZoOG50dTVhZmp2ajc=","1306900420571"
"ajhxbWFsdXZkczk1OjVsdXIwb2xrN2pxYms=","1304800010054"
"ajhxcG50dmEwZmg0OmVjbWxlbzY4bGo3M2c=","1305100961700"
"ajI4cnUwY2l1cTNsOmNsMTlwcGZyYm5tZTQ=","1305101331522"
"ajJpdDJwNzExM2xoOjNmOGxyN2JxYmRrN2k=","130480270"
"ajJzb3ZoMTRtdnQ2Om1hNW5qdnF1cnI3ZA==","130660014"
"ajk1ZzZmcjN0dGU1OjU1ZmVwaHM3djNvb2M=","1305101281503"
"ajkybW1sMDdpam1mOjZ1YmlpZXRqMWMxb3I=","1304800011048"
"ajliMWlvcm1lbDFmOjRzazFiMzhidWpzYm0=","1304800010995"
"ajNkOW50NGFrY2dqOjlrZDlrNDRibWthYWw=","1304800010247"
"ajQ3bTEyOXYzdnR1OmRlYTlqMGtqYTI0bzM=","1304800012722"
"ajQwcTAwdTl0ZDA5OmZwYjNiZHY3ajZvMjk=","130160205"
"ajR0dHR1dThmZGhhOmFyajgzaHI0NDdybw==","1304800010919"
"ajR1Y21jOXVmNHFvOmVmNDhoNTh1cWQ2dDc=","1305100961700"
"ajRkZG4wMm9nbWRsOjgxbjVpOW1rMTdobzI=","1305100101128"
"ajRnczY2aHE5dGdqOjhnbms5cnRqM2FrcWo=","1304800010406"
"ajRrcGU0ZzdsaGZtOjZjNTNhOWtpampycHE=","1304800010919"
"ajVxYW1idHN1dm5jOjNiNDV2YXBub2Y1cGw=","1307600271019"
"ajVzbDNxZjZmbG1yOmUxOWxnanJuMHQ5b3U=","1304800010213"
"ajZsMjNsYzNyNWdrOjYyb3M3M28wYnJyajA=","1305100931293"
"am01NDN2dWFybzBxOjh0cWJhNG11NGMwMzE=","1306900420675"
"am11cm1rNWhzMWp1OmZxOWYyMTQ1dGc2ZWE=","1304800010586"
"am45MHZtZjAyMzJwOjdzY2xsa2NvdmdjcA==","130820022_S"
"am4waTI3NGVsMjV2OmFicWRlY3BxbWxkODU=","1304800010389"
"am5idXI5OGRyaDVwOjhic2ZodTRyNnVzbzQ=","1304800010980"
"am5yZDhlM3NkcXM0OjZzdmY2YnZ2bHNrNjU=","1304800010976"
"am9pZjJsazNtdXRzOmJqNzQ2aTlwdmIyZ2I=","1304800010389"
"am9sc3RwcmNjOGxtOjRiOWcxcTcxbTdiMDI=","1305100931306"
"amd0N3JqYzNvN2g6ZXV0ZnU1dGI0Z205aQ==","1305100010204"
"amd2MzdmNGZ2aWRkOjJuazgwMTE2b2FiN2g=","1305100101128"
"amE0cm1vNTF0ODVhOmNmajcyNjMxdG0yN2U=","13022001A"
"amE5OHR1cHFtaW5kOjdsZzU1Z3NoNGFkcG0=","13057002A"
"amEzMWRvNmdlNGdoOjJpZHAyYjR1cGs2cWs=","1304800012347"
"amFnaWhlZTI5cThnOmZobTMyMmgxY2pkM2g=","130690016_P"
"amFrMWtocmk0YzJsOjUzMmczZWNpYjJpY20=","1304800012262"
"amFzNDJjbGlpZ2RwOjNqZnYxNTc3dWNkN3A=","1305100010204"
"amgwN3Bsb2RyYjZ1OjhnZmFrdTB2NmpqMTQ=","130240014"
"amhnMDZnN3BkZmU1OmNjOWh2YXNhM2MxMDk=","1304800010976"
"amhyZ2hncnNwaGc2OjZ1OWVmNmFwNThhYWE=","130480001011A"
"amhzZWViY3EyMDhnOjM4YmRvMXRnMjhuMmg=","1306900051052"
"amN0czdyaGc0aTFuOmJ0bmRpZXRjcWRxYzA=","1305100270115"
"amNpOGR2NmNtbGZzOjJ2NHBtZ2VmNzR0YTg=","1304800011940"
"amNrbjI0NDE4c21tOjZkYnU2bjJiYXVkOG8=","1304100010142"
