"device_IDs","hogares"
"a21scXRxbzFuMHVtOjJlNm1rbHZpYmhuOHY=","1304800012347"
"a21sZzNicjF0MWtlOjJwbmc1Y2dvYW1qZXQ=",NA
"a21ubmU4Y21oOTdpOjlvZGZoNjFxMXFlOXU=","1306900100529"
"a240ZDBmc2U0NmN2OjVhZ2M5dGp1cGw1dmQ=","1303900010093"
"a29zZ3BsN3RwbnJwOjkwOWkzZHVuNjM5ZTQ=","1304800012347"
"a2cwanVtdGY0MHRxOjllbjl2MXBrOGZsMDA=","1305100601236"
"a2dpN3UzZjl1M2cwOjZzODk4dGhhYjZlMzk=","1305101512319"
"a2dyZGJ0dmYwcHY2OjZhdXJwbnRncW9ycGQ=",NA
"a2E0cjNmaHBwY3Y1OmMzY2djaDRqMmE1aGc=","1304800011122"
"a2F2N3I3MW9mZXJxOjJtMTByN2R0MjZ2bTY=",NA
"a2FmNjZ0MWpkbTlxOmZua3ZpaTZqZmNkazM=","1304800011546"
"a2hwcGlpYmZoOTNzOmJ2OHR1Y29yYW42bTA=","1305100781679"
"a2I3bWpqM2s2bGVlOmZiMWpua3U0ZzBob2o=","1304800010444"
"a2IwbTVsY250OWQyOmVkcG5sZGQyaXNydmE=","1304800010622"
"a2JqcXR1djc0NTA1OjcxMHNyYnZvMXQ4aWo=","1304800010389"
"a2kwa3I0N3Y0MGNvOjI4ZGVxOTVxOHIwdjY=","1304800010209"
"a2N0amFuOTNpdW1vOmRhdHRxNmowczE0cDY=","1304800010177"
"a2Njdmt1djc5NTdpOmVmYTF0MGJ1aTExOXM=","1304800011550"
"a2NvZGtrYWg3b3VjOjN2a2Fta3IxYm9nZ2o=","1304800010389"
"a2p0ZTltcTNwZTRvOmNvczNiNzYyZjgwZjU=","130510577_Z"
"a2p1bmN1ODFmZDVsOmNkMDg3ZHNvcjVubnY=","1304800010764"
"a2pnZHJpZ21tc28wOmUya21pNHBhaTUwYmM=","130520023"
"a2RkYmNpZnYzOWVlOmYxY2pzOGpubjhnOGY=","1304800010251"
"a2Rmc2U1cXRla3YwOjMza202ZG42bTdnaGE=","1304800010529"
"a2tsbGJqdXRuanRtOjMwNDNrZm5hbnJlbnQ=","1304800010143"
"a2tsY2c0OWZudWppOjhoOWp0c2hzYmNkdHY=","1304800011550"
"a2tvbjFsaGlzaHJtOjQ3aWIzMmc0ZWxiNjM=","130480270"
"a2tvc2x0aGFlZjdkOjM2N2hsMzJlMzQyOXA=","1304800012188"
"a2wza3Y4Mm9hanM4OjhzYmxocTk3Z2ZhNmk=",NA
"a2xmMjN0bmYwdGY1OjhtbHZvNmlpN3B1cGg=","1305101391560"
