"hogares","conteo","POB1"
"1308200010291",15,641
"1308200020056",36,1922
"1308200020126",41,1896
"1308200020198",6,1857
"1308200020200",11,1149
"1308200020215",5,1359
"1308200020268",3,1298
"1308200020272",6,1441
"1308200030304",14,1787
"1308200030319",4,1459
"1308200030323",5,821
"1308200030338",11,1108
"130820018",1,100.648616101293
"130820022_S",137,171.340441395516
"1308300010119",4,1007
"1308300010123",6,463
"1308300010157",9,1244
"1308300010180",38,1208
"1308300010195",28,1528
"1308300010231",3,439
"1308300010246",5,455
"1308300010250",7,355
"1308300010265",1,318
"130830023027A",13,1857
"1308300230284",23,1782
"1308300260299",2,1168
"1308300260301",2,617
"1308300260316",6,729
"13083002A",67,7274.85032429167
"130830034",63,7035.28837513652
"130830068_G",60,1771.9104387077
"130830068_M",22,253.722826255615
"130830072",78,6445.37728104047
"1308301020161",18,1158
"1308301020176",49,1749
"1308301020509",30,709
"1308301020513",14,541
"1308301330015",2,40
"1308301330320",43,1755
"1308301330335",31,1409
"130830133034A",21,2491
"1308301330354",12,1267
"1308301330369",26,1701
"1308301330373",1,94
"1308301330388",5,349
"1308301330392",10,466
"1308301330405",12,509
"1308301330424",42,1180
"1308301330439",29,1728
"1308301330443",7,431
"1308301330458",36,1050
"1308301330462",10,275
"1308301330477",41,825
"1308301330481",35,1854
"1308301330496",3,64
"1308301330528",3,NA
"1308301330532",1,NA
"1308301330585",1,NA
