"device_IDs","hogares"
"a21wdm00dmNuZ3ZpOjhiMW1taW9kNzIycGw=",NA
"a243Mmc4NXJmc3VjOmJsZzgyZjQ2dTkwZw==","1304800012417"
"a2d0cjhmdHMycHRmOjY3OHRlaGUwbG1hdms=",NA
"a2g2ZmhhNGNldGlmOmRpNDE4cGNyNzQ3NGs=","1304800011940"
"a2hxODJwOGRsMDIzOmFhNTJkczdiOTh2czM=","1304800010834"
"a2JhNXFjZjlpYWZlOjlhYmg4c3Rtam8xMXA=","1304800010764"
"a2JjY2tvaG9sZXM3OmRuYThjZDJwaWc2ZWI=","1305100270736"
"a2k4anBpczc4YTk2OjRvN2ZtOGZmMjloYjk=","1304800010980"
"a2loMWgzZzI0bnU3OjNmdHBtdmtudTFvb2M=","1304800011531"
"a2MzZzJnN3VldGc2OjU4OWM3ZzNuN2U4YTg=","1304800010444"
"a2NncWNtMjhibHNhOjE3anQ0cm80MTE4ZWI=",NA
"a2NzbWZkb3ZrNjBwOmF2c3V2bXZub3Zocjc=","1306900051071"
"a2o5MzJmM2h0ajl1OjFzc3ZldHZnc3Zsc2I=","1305100030223"
"a2psYzVza2JlbHMwOmE1N25kOWt1amljbTE=","1305101512342"
"a2pxMGE1aDhzaDJmOjQxdDZzZGI0ajdjbQ==","1304800010105"
"a2RuMXVqdXJ2NW50Ojc5MGNoZGkzbXN2MmE=","1304800010213"
"a2U0NTNvOTFjcTUxOmZ0cnZmdDRkcG1lZmc=","1304800010158"
"a2U4NGtidjA3aW9pOmVscDcxOThrOTRhMnQ=","1304800010213"
"a2VrZjBpMGVlNDdmOjVjdjA5Y3VqOGM0aHM=","130480001036A"
"a2ZrN2l1MDc3bXQ5Ojc2OGExZjM3MWVubm8=",NA
"a2ZrYXN2Z2YwMTJkOmFuMDUxYWU5N2JlY3M=","130510577_Z"
"a3B0a2E2YXZtcW1rOmU4ZnZkMmxxbzhtZ3U=","130480001196A"
"a3BhYTM4YnBlaTBiOjFkbzc4MTFybDFmMmI=","1304800010389"
"a3BuNmI3ODI4MG1pOjdsMGhiYzMyc2ZvZ2k=","1304800010139"
"a3BvZzY0YnQybG0xOjlndjAyOTd1ODVmMDU=","1304800012370"
"a3E1Nmw2aDk5MHVvOmI4c2I4Z2I5amEzOHY=","130510562_A"
"a3F2MW5sYWNja2k3OmMyMnU3bWNhbzc3a20=","1304800012347"
"a3FkcTZuOGliYTlqOmM3dmU5bGRjYm8zM2o=","1305100101128"
"a3FnMDQ0bDBjbzRiOjI1MWVvY2dxYWFwNmk=","1304800013078"
"a3FtcnFsbnQ3OWNnOjY3dmR0bWNmbmZuNnI=","130480001075A"
"a3JhYW9hMThhdGE2OmJxamFzN3ZzM2VpNGM=","1305101471645"
"a3JmY2JrcGRybjRmOjhqbXVwNmNlNnF2bW8=","130480001004A"
"a3Y0dGtkMGpyN3VpOjY4ZWRpc2hpdjgxOG4=","1304800011122"
"a3ZqZ2dlcHQ0cHMzOjJzamw3azF0NWsyZWg=","130480001285A"
"a3ZrbXJ2MDJuajJ0OjlxaTBuMGFyY2pzZDQ=",NA
"a3ZrdHY0ZWNhcmxkOjc4OTYzdmdzNzJsN20=","1304800010139"
"aDBqNWMxcDhoMTJsOmFlNGlib2JmazFtY2w=",NA
"aDhvcTFibTc0OTBlOmN0YWMzN2ljZ3VkMm0=","1305100141151"
"aDJiMmUzYTNjaTV1OmUxaTZsNDliYzdnOGI=",NA
"aDJlYmM0b2RxdnJ2OjIzN2ppa2xtbTBydWM=",NA
"aDlsbTFxajRtNHNiOmRqNjQ4aDA0ZTByZWw=","1304800010478"
"aDluMWwwZW85cTFoOnJwM3NkN2cyMzhycA==","1304800010196"
"aDNqbml1c2ZjdW9hOjluOTQwcDJsOTYyYWc=",NA
"aDNqbzUzZDhpOXJvOjI1YmN2dDlmMzk1Njc=","130820022_S"
"aDRtcjZuYnF1NTA2Ojg2bGRkOTFqbGplYWc=","1304800012347"
"aDVmdW9ucWZxb2p0OjczazlwYzFmcW1jbTA=","130520023"
"aG00OWFzNjJ2bDduOmVwZ2ZucWVlY3IycTM=","1304800010105"
"aG12dHIwdGV0MzRzOjc0MnNuN3A2YWluZjk=","1304800010976"
